Store,Dept,Date,Weekly_Sales,IsHoliday
1,1,2010-05-02,24924.5,False
1,1,2010-05-03,21827.9,False
1,1,2010-05-14,18926.74,False
1,1,2010-05-21,14773.04,False
1,1,2010-05-28,15580.43,False
1,1,2010-06-08,17508.41,False
1,1,2010-05-11,34238.88,False
1,2,2010-05-02,50605.27,False
1,2,2010-05-03,48397.98,False
1,2,2010-05-14,43675.61,False
1,2,2010-05-21,44319.15,False
1,2,2010-05-28,44619.52,False
1,2,2010-06-08,50031.73,False
1,2,2010-05-11,46381.43,False
1,3,2010-05-02,13740.12,False
1,3,2010-05-03,12275.58,False
1,3,2010-05-14,7919.86,False
1,3,2010-05-21,7813.91,False
1,3,2010-05-28,8412.69,False
1,3,2010-06-08,26719.02,False
1,3,2010-05-11,9825.22,False
1,4,2010-05-02,39954.04,False
1,4,2010-05-03,38086.19,False
1,4,2010-05-14,33657.7,False
1,4,2010-05-21,35571.47,False
1,4,2010-05-28,36380.36,False
1,4,2010-06-08,40973.88,False
1,4,2010-05-11,37980.55,False
1,5,2010-05-02,32229.38,False
1,5,2010-05-03,23082.14,False
1,5,2010-05-14,16891.66,False
1,5,2010-05-21,16157.17,False
1,5,2010-05-28,15784.6,False
1,5,2010-06-08,16926.17,False
1,5,2010-05-11,23903.81,False
1,6,2010-05-02,5749.03,False
1,6,2010-05-03,4221.25,False
1,6,2010-05-14,6982.17,False
1,6,2010-05-21,3395.75,False
1,6,2010-05-28,6165.59,False
1,6,2010-06-08,4700.38,False
1,6,2010-05-11,5036.99,False
1,7,2010-05-02,21084.08,False
1,7,2010-05-03,19659.7,False
1,7,2010-05-14,18771.35,False
1,7,2010-05-21,28726.86,False
1,7,2010-05-28,36911.59,False
1,7,2010-06-08,21842.57,False
1,7,2010-05-11,19136.58,False
1,8,2010-05-02,40129.01,False
1,8,2010-05-03,38776.09,False
1,8,2010-05-14,33131.69,False
1,8,2010-05-21,34442.73,False
1,8,2010-05-28,35046.1,False
1,8,2010-06-08,34833.35,False
1,8,2010-05-11,36182.58,False
1,9,2010-05-02,16930.99,False
1,9,2010-05-03,24064.7,False
1,9,2010-05-14,25385.09,False
1,9,2010-05-21,27798.19,False
1,9,2010-05-28,29811.88,False
1,9,2010-06-08,19224.82,False
1,9,2010-05-11,48794.36,False
1,10,2010-05-02,30721.5,False
1,10,2010-05-03,33299.27,False
1,10,2010-05-14,26568.32,False
1,10,2010-05-21,26197.6,False
1,10,2010-05-28,30894.79,False
1,10,2010-06-08,35078.09,False
1,10,2010-05-11,31543.83,False
1,11,2010-05-02,24213.18,False
1,11,2010-05-03,19082.9,False
1,11,2010-05-14,23301.17,False
1,11,2010-05-21,27266.41,False
1,11,2010-05-28,28393.85,False
1,11,2010-06-08,37289.02,False
1,11,2010-05-11,25063.26,False
1,12,2010-05-02,8449.54,False
1,12,2010-05-03,10239.06,False
1,12,2010-05-14,9540.54,False
1,12,2010-05-21,12235.62,False
1,12,2010-05-28,11876.34,False
1,12,2010-06-08,12887.52,False
1,12,2010-05-11,9345.99,False
1,13,2010-05-02,41969.29,False
1,13,2010-05-03,40423.95,False
1,13,2010-05-14,36499.93,False
1,13,2010-05-21,38569.83,False
1,13,2010-05-28,38347.52,False
1,13,2010-06-08,42038.03,False
1,13,2010-05-11,41085.66,False
1,14,2010-05-02,19466.91,False
1,14,2010-05-03,18268.78,False
1,14,2010-05-14,14678.22,False
1,14,2010-05-21,11480.15,False
1,14,2010-05-28,12218.11,False
1,14,2010-06-08,14404.15,False
1,14,2010-05-11,14092.03,False
1,16,2010-05-02,10217.55,False
1,16,2010-05-03,17129.81,False
1,16,2010-05-14,44148.02,False
1,16,2010-05-21,38638.64,False
1,16,2010-05-28,45861.03,False
1,16,2010-06-08,24218.72,False
1,16,2010-05-11,6063.75,False
1,17,2010-05-02,13223.76,False
1,17,2010-05-03,12657.65,False
1,17,2010-05-14,10266.86,False
1,17,2010-05-21,9254.13,False
1,17,2010-05-28,8644.05,False
1,17,2010-06-08,9851.77,False
1,17,2010-05-11,9250.94,False
1,18,2010-05-02,4729.5,False
1,18,2010-05-03,634.61,False
1,18,2010-05-14,0.5,False
1,18,2010-05-11,12033.61,False
1,19,2010-05-02,1947.05,False
1,19,2010-05-03,1556.65,False
1,19,2010-05-14,1274.19,False
1,19,2010-05-21,1448.08,False
1,19,2010-05-28,1183.27,False
1,19,2010-06-08,2169.9,False
1,19,2010-05-11,1344.66,False
1,20,2010-05-02,5034.1,False
1,20,2010-05-03,4215.67,False
1,20,2010-05-14,4530.95,False
1,20,2010-05-21,4020.38,False
1,20,2010-05-28,5115.39,False
1,20,2010-06-08,4764.92,False
1,20,2010-05-11,2961.74,False
1,21,2010-05-02,8907.63,False
1,21,2010-05-03,8275.44,False
1,21,2010-05-14,7905.15,False
1,21,2010-05-21,7369.84,False
1,21,2010-05-28,8570.69,False
1,21,2010-06-08,7573.36,False
1,21,2010-05-11,7608.28,False
1,22,2010-05-02,13623.98,False
1,22,2010-05-03,8219.49,False
1,22,2010-05-14,6772.41,False
1,22,2010-05-21,5133.32,False
1,22,2010-05-28,5729.72,False
1,22,2010-06-08,7703.29,False
1,22,2010-05-11,8085.19,False
1,23,2010-05-02,24146.49,False
1,23,2010-05-03,18993.69,False
1,23,2010-05-14,19986.37,False
1,23,2010-05-21,20697.6,False
1,23,2010-05-28,23409.56,False
1,23,2010-06-08,22200.83,False
1,23,2010-05-11,26416.48,False
1,24,2010-05-02,8272.9,False
1,24,2010-05-03,6885.9,False
1,24,2010-05-14,5180.35,False
1,24,2010-05-21,5099.86,False
1,24,2010-05-28,5085.04,False
1,24,2010-06-08,10293.02,False
1,24,2010-05-11,7834.13,False
1,25,2010-05-02,11609.5,False
1,25,2010-05-03,10345.5,False
1,25,2010-05-14,11247.0,False
1,25,2010-05-21,11805.5,False
1,25,2010-05-28,11229.88,False
1,25,2010-06-08,8737.4,False
1,25,2010-05-11,10713.05,False
1,26,2010-05-02,11737.12,False
1,26,2010-05-03,8772.65,False
1,26,2010-05-14,7378.58,False
1,26,2010-05-21,7721.92,False
1,26,2010-05-28,5720.08,False
1,26,2010-06-08,6151.1,False
1,26,2010-05-11,9601.7,False
1,27,2010-05-02,2293.0,False
1,27,2010-05-03,1467.5,False
1,27,2010-05-14,1139.35,False
1,27,2010-05-21,957.93,False
1,27,2010-05-28,864.92,False
1,27,2010-06-08,1317.52,False
1,27,2010-05-11,1654.8,False
1,28,2010-05-02,1085.29,False
1,28,2010-05-03,1002.2,False
1,28,2010-05-14,653.81,False
1,28,2010-05-21,491.69,False
1,28,2010-05-28,416.53,False
1,28,2010-06-08,532.59,False
1,28,2010-05-11,857.28,False
1,29,2010-05-02,7024.95,False
1,29,2010-05-03,5306.7,False
1,29,2010-05-14,5651.19,False
1,29,2010-05-21,4333.28,False
1,29,2010-05-28,3532.78,False
1,29,2010-06-08,5511.97,False
1,29,2010-05-11,5087.02,False
1,30,2010-05-02,5491.0,False
1,30,2010-05-03,4360.5,False
1,30,2010-05-14,3885.42,False
1,30,2010-05-21,4342.18,False
1,30,2010-05-28,3887.9,False
1,30,2010-06-08,4505.88,False
1,30,2010-05-11,2915.0,False
1,31,2010-05-02,3455.92,False
1,31,2010-05-03,2595.8,False
1,31,2010-05-14,1853.79,False
1,31,2010-05-21,1602.42,False
1,31,2010-05-28,1480.88,False
1,31,2010-06-08,3989.01,False
1,31,2010-05-11,2618.32,False
1,32,2010-05-02,11875.84,False
1,32,2010-05-03,9907.51,False
1,32,2010-05-14,16167.09,False
1,32,2010-05-21,6472.63,False
1,32,2010-05-28,7381.56,False
1,32,2010-06-08,5571.23,False
1,32,2010-05-11,5804.88,False
1,33,2010-05-02,8589.77,False
1,33,2010-05-03,6214.6,False
1,33,2010-05-14,5012.78,False
1,33,2010-05-21,5905.71,False
1,33,2010-05-28,6159.95,False
1,33,2010-06-08,9313.16,False
1,33,2010-05-11,7503.79,False
1,34,2010-05-02,14350.83,False
1,34,2010-05-03,12571.5,False
1,34,2010-05-14,13934.33,False
1,34,2010-05-21,14001.84,False
1,34,2010-05-28,13976.83,False
1,34,2010-06-08,9872.5,False
1,34,2010-05-11,12338.25,False
1,35,2010-05-02,2770.0,False
1,35,2010-05-03,2752.0,False
1,35,2010-05-14,4173.0,False
1,35,2010-05-21,2713.0,False
1,35,2010-05-28,2932.0,False
1,35,2010-06-08,2639.0,False
1,35,2010-05-11,3199.0,False
1,36,2010-05-02,120.0,False
1,36,2010-05-03,648.0,False
1,36,2010-05-14,2272.5,False
1,36,2010-05-21,2989.5,False
1,36,2010-05-28,3995.0,False
1,36,2010-06-08,1596.0,False
1,36,2010-05-11,1375.0,False
1,37,2010-05-02,3438.16,False
1,37,2010-05-03,3647.82,False
1,37,2010-05-14,2630.47,False
1,37,2010-05-21,2362.36,False
1,37,2010-05-28,2625.06,False
1,37,2010-06-08,2846.27,False
1,37,2010-05-11,2871.57,False
1,38,2010-05-02,115564.35,False
1,38,2010-05-03,108282.86,False
1,38,2010-05-14,91179.51,False
1,38,2010-05-21,80273.34,False
1,38,2010-05-28,87937.0,False
1,38,2010-06-08,93809.75,False
1,38,2010-05-11,77547.67,False
1,40,2010-05-02,66780.63,False
1,40,2010-05-03,67000.83,False
1,40,2010-05-14,54394.6,False
1,40,2010-05-21,53707.85,False
1,40,2010-05-28,56109.3,False
1,40,2010-06-08,57414.42,False
1,40,2010-05-11,62762.19,False
1,41,2010-05-02,1011.83,False
1,41,2010-05-03,1405.96,False
1,41,2010-05-14,809.0,False
1,41,2010-05-21,440.12,False
1,41,2010-05-28,514.0,False
1,41,2010-06-08,1044.0,False
1,41,2010-05-11,2228.87,False
1,42,2010-05-02,8366.71,False
1,42,2010-05-03,9701.14,False
1,42,2010-05-14,8018.61,False
1,42,2010-05-21,8604.28,False
1,42,2010-05-28,7895.11,False
1,42,2010-06-08,8670.44,False
1,42,2010-05-11,8004.7,False
1,44,2010-05-02,4674.75,False
1,44,2010-05-03,4465.33,False
1,44,2010-05-14,4559.25,False
1,44,2010-05-21,4564.94,False
1,44,2010-05-28,3995.99,False
1,44,2010-06-08,5151.43,False
1,44,2010-05-11,4669.76,False
1,45,2010-05-02,37.44,False
1,45,2010-05-03,74.35,False
1,45,2010-05-14,22.5,False
1,45,2010-05-21,10.47,False
1,45,2010-05-28,12.5,False
1,45,2010-05-11,10.47,False
1,46,2010-05-02,20837.77,False
1,46,2010-05-03,20565.45,False
1,46,2010-05-14,18294.5,False
1,46,2010-05-21,18845.98,False
1,46,2010-05-28,19693.66,False
1,46,2010-06-08,19380.82,False
1,46,2010-05-11,18063.45,False
1,47,2010-05-02,70.0,False
1,48,2010-05-02,814.0,False
1,48,2010-05-03,771.0,False
1,48,2010-05-14,424.0,False
1,48,2010-05-11,861.0,False
1,49,2010-05-02,11501.46,False
